x,y
0.89	,16
0.551724138	,10
1.0625	,21
0.518518519	,10
0.695652174	,5
0.551948052	,12
0.609375	,10
0.647482014	,14
0.540880503	,5
1.159574468	,21
0.35971223	,2
0.651315789,	7
0.59375,	7
0.75	,15
0.636363636,	5
0.606837607,	14
0.604477612,	14
0.61038961,	15
0.864,	21
0.452702703,	10
0.61038961,	7
0.678571429,	10
0.893442623,	5

